question,translation,GPT-Score,Google Translate,Score,ChatGPT (no schema),Score
Find names of instructors with salary greater than that of some (at least one) instructor in the Biology department.,العثور على أسماء المدرسين الذين يتقاضون رواتب أعلى من تلك التي يتقاضاها بعض (على الأقل واحد) المدرسين في قسم البيولوجيا.,,,,,
What are the names of instructors who earn more than at least one instructor from the Biology department?,ما هي أسماء المدرسين الذين يحصلون على رواتب أعلى من مدرس واحد على الأقل من قسم البيولوجيا؟,,,,,
Find the names of all instructors whose salary is greater than the salary of all instructors in the Biology department.,العثور على أسماء جميع المدرسين الذين يتقاضون رواتب أعلى من رواتب جميع المدرسين في قسم البيولوجيا.,,,,,
What are the names of all instructors with a higher salary than any of the instructors in the Biology department?,ما هي أسماء جميع المدرسين الذين يحصلون على رواتب أعلى من أي من مدرسي قسم البيولوجيا؟,,,,,
How many debates are there?,كم مناظرة هناك؟,,,,,
List the venues of debates in ascending order of the number of audience.,قائمة بأماكن المناظرات بترتيب تصاعدي حسب عدد الجمهور.,,,,,
What are the date and venue of each debate?,ما هي التاريخ والمكان لكل مناظرة؟,,,,,
List the dates of debates with number of audience bigger than 150,قائمة بتواريخ المناظرات مع عدد الجمهور أكبر من 150.,,,,,
Show the names of people aged either 35 or 36.,عرض أسماء الأشخاص الذين تتراوح أعمارهم بين 35 أو 36 عامًا.,,,,,
What is the party of the youngest people?,ما هي حزب أصغر الأشخاص سنًا؟,,,,,
Show different parties of people along with the number of people in each party.,عرض الأحزاب المختلفة للأشخاص مع عدد الأشخاص في كل حزب.,,,,,
Show the party that has the most people.,عرض الحزب الذي يضم أكبر عدد من الأشخاص.,,,,,
Show the distinct venues of debates,عرض الأماكن المختلفة للمناظرات.,,,,,
"Show the names of people, and dates and venues of debates they are on the affirmative side.",أظهر أسماء الأشخاص، وتواريخ وأماكن المناظرات التي يكونون في الجانب الموافق.,,,,,
"Show the names of people, and dates and venues of debates they are on the negative side, ordered in ascending alphabetical order of name.",أظهر أسماء الأشخاص، وتواريخ وأماكن المناظرات التي يكونون في الجانب السلبي، مرتبة بترتيب أبجدي تصاعدي للاسم.,,,,,
Show the names of people that are on affirmative side of debates with number of audience bigger than 200.,أظهر أسماء الأشخاص الذين يكونون في الجانب الموافق للمناظرات مع عدد الجمهور أكبر من 200.,,,,,
Show the names of people and the number of times they have been on the affirmative side of debates.,أظهر أسماء الأشخاص وعدد المرات التي شاركوا في الجانب الموافق للمناظرات.,,,,,
Show the names of people who have been on the negative side of debates at least twice.,أظهر أسماء الأشخاص الذين كانوا في الجانب السلبي للمناظرات مرتين على الأقل.,,,,,
List the names of people that have not been on the affirmative side of debates.,قائمة بأسماء الأشخاص الذين لم يكونوا في الجانب الموافق للمناظرات.,,,,,
List the names of all the customers in alphabetical order.,قائمة بأسماء جميع الزبائن بترتيب أبجدي.,,,,,
Sort the customer names in alphabetical order.,فرز أسماء الزبائن بترتيب أبجدي.,,,,,
"Find all the policy type codes associated with the customer ""Dayana Robel""","العثور على جميع أنواع السياسات المرتبطة بالزبون ""ديانا روبيل"".",,,,,
"What are the type codes of the policies used by the customer ""Dayana Robel""?","ما هي أنواع السياسات المستخدمة من قبل الزبون ""ديانا روبيل""؟",,,,,
Which type of policy is most frequently used? Give me the policy type code.,أي نوع من السياسات يُستخدم بشكل متكرر؟ أعطني رمز نوع السياسة.,,,,,
Find the type code of the most frequently used policy.,العثور على رمز نوع السياسة الأكثر استخدامًا بشكل متكرر.,,,,,
Find all the policy types that are used by more than 2 customers.,العثور على جميع أنواع السياسات التي يستخدمها أكثر من 2 زبون.,,,,,
Which types of policy are chosen by more than 2 customers? Give me the policy type codes.,أي أنواع السياسات يختارها أكثر من 2 زبون؟ أعطني رموز أنواع السياسة.,,,,,
Find the total and average amount paid in claim headers.,العثور على المبلغ الإجمالي والمتوسط المدفوع في رؤوس المطالبات.,,,,,
What are the total amount and average amount paid in claim headers?,ما هي المبلغ الإجمالي والمبلغ المتوسط المدفوع في رؤوس المطالبات؟,,,,,
Find the total amount claimed in the most recently created document.,العثور على المبلغ الإجمالي المطالب به في أحدث وثيقة تم إنشاؤها.,,,,,
How much amount in total were claimed in the most recently created document?,كم المبلغ الإجمالي المطالب به في أحدث وثيقة تم إنشاؤها؟,,,,,
What is the name of the customer who has made the largest amount of claim in a single claim?,ما اسم الزبون الذي قام بالمطالبة بأكبر مبلغ في مطالبة واحدة؟,,,,,
Which customer made the largest amount of claim in a single claim? Return the customer details.,أي زبون قدم أكبر مبلغ مطالبة في مطالبة واحدة؟ أعد تفاصيل الزبون.,,,,,
What is the name of the customer who has made the minimum amount of payment in one claim?,ما اسم الزبون الذي قام بدفع أقل مبلغ في مطالبة واحدة؟,,,,,
Which customer made the smallest amount of claim in one claim? Return the customer details.,أي زبون قدم أقل مبلغ مطالبة في مطالبة واحدة؟ أعد تفاصيل الزبون.,,,,,
Find the names of customers who have no policies associated.,العثور على أسماء الزبائن الذين ليس لديهم سياسات مرتبطة.,,,,,
What are the names of customers who do not have any policies?,ما هي أسماء الزبائن الذين ليس لديهم أي سياسات؟,,,,,
How many claim processing stages are there in total?,كم عدد مراحل معالجة المطالبات بشكل إجمالي؟,,,,,
Find the number of distinct stages in claim processing.,العثور على عدد المراحل المميزة في معالجة المطالبات.,,,,,
What is the name of the claim processing stage that most of the claims are on?,ما اسم مرحلة معالجة المطالبات التي يكون معظم المطالبات عليها؟,,,,,
Which claim processing stage has the most claims? Show the claim status name.,أي مرحلة في معالجة المطالبات لديها أكبر عدد من المطالبات؟ أظهر اسم حالة المطالبة.,,,,,
"Find the names of customers whose name contains ""Diana"".","العثور على أسماء الزبائن الذين يحتوي اسمهم على ""ديانا"".",,,,,
"Which customers have the substring ""Diana"" in their names? Return the customer details.","أي الزبائن الذين يحتوي اسمهم على ""ديانا"" كجزء منه؟ أعد تفاصيل الزبون.",,,,,
Find the names of the customers who have an deputy policy.,ما هي أسماء العملاء الذين لديهم سياسة نائب؟,,,,,
"Which customers have an insurance policy with the type code ""Deputy""? Give me the customer details.","أي العملاء لديهم وثيقة تأمينية برمز النوع ""نائب؟"" أعطني تفاصيل العميل.",,,,,
Find the names of customers who either have an deputy policy or uniformed policy.,العثور على أسماء العملاء الذين إما لديهم سياسة نائب أو سياسة موحدة.,,,,,
"Which customers have an insurance policy with the type code ""Deputy"" or ""Uniform""? Return the customer details.","أي العملاء لديهم وثيقة تأمينية برمز النوع ""نائب"" أو ""موحد؟"" أعد تفاصيل العميل.",,,,,
Find the names of all the customers and staff members.,العثور على أسماء جميع العملاء وأعضاء الطاقم.,,,,,
What are the names of the customers and staff members?,ما هي أسماء العملاء وأعضاء الطاقم؟,,,,,
Find the number of records of each policy type and its type code.,العثور على عدد السجلات لكل نوع من أنواع السياسات ورمز نوعها.,,,,,
"For each policy type, return its type code and its count in the record.",لكل نوع من أنواع السياسات، أرجع رمز نوعها وعددها في السجل.,,,,,
Find the name of the customer that has been involved in the most policies.,العثور على اسم العميل الذي شارك في أكبر عدد من السياسات.,,,,,
Which customer have the most policies? Give me the customer details.,أي العملاء لديهم أكبر عدد من السياسات؟ أعطني تفاصيل العميل.,,,,,
"What is the description of the claim status ""Open""?","ما هو وصف حالة المطالبة ""مفتوحة""؟",,,,,
"Find the description of the claim status ""Open"".","العثور على وصف حالة المطالبة ""مفتوحة"".",,,,,
How many distinct claim outcome codes are there?,كم عدد رموز نتائج المطالبات المميزة؟,,,,,
Count the number of distinct claim outcome codes.,عدد عدد رموز نتائج المطالبات المميزة.,,,,,
Which customer is associated with the latest policy?,أي العميل مرتبط بأحدث سياسة؟,,,,,
Find the customer who started a policy most recently.,ما هو العميل الذي بدأ بوليصة مؤخرًا؟,,,,,
Show the number of accounts.,عرض عدد الحسابات.,,,,,
How many accounts are there?,كم عدد الحسابات؟,,,,,
How many customers have opened an account?,كم عدد العملاء الذين فتحوا حسابًا؟,,,,,
Count the number of customers who have an account.,عدد العملاء الذين لديهم حساب.,,,,,
"Show the id, the date of account opened, the account name, and other account detail for all accounts.",عرض الهوية، وتاريخ فتح الحساب، واسم الحساب، وتفاصيل حساب أخرى لجميع الحسابات.,,,,,
"What are the ids, date opened, name, and other details for all accounts?",ما هي الهويات، وتواريخ الافتتاح، والأسماء، والتفاصيل الأخرى للحسابات؟,,,,,
"Show the id, the account name, and other account details for all accounts by the customer with first name 'Meaghan'.",عرض الهوية، واسم الحساب، وتفاصيل الحساب الأخرى لجميع الحسابات بواسطة العميل الذي لديه الاسم الأول 'ميغان'.,,,,,
"What are the ids, names, dates of opening, and other details for accounts corresponding to the customer with the first name ""Meaghan""?","ما هي الهويات، والأسماء، وتواريخ الافتتاح، والتفاصيل الأخرى للحسابات المتعلقة بالعميل الذي لديه الاسم الأول ""ميغان""؟",,,,,
Show the account name and other account detail for all accounts by the customer with first name Meaghan and last name Keeling.,عرض اسم الحساب وتفاصيل الحساب الأخرى لجميع الحسابات بواسطة العميل الذي لديه الاسم الأول ميغان والاسم الأخير كيلينج.,,,,,
What are the names and other details for accounts corresponding to the customer named Meaghan Keeling?,ما هي الأسماء والتفاصيل الأخرى للحسابات المتعلقة بالعميل المسمى ميغان كيلينج؟,,,,,
Show the first name and last name for the customer with account name 900.,عرض الاسم الأول والاسم الأخير للعميل مع اسم الحساب 900.,,,,,
What are the full names of customers with the account name 900?,ما هي الأسماء الكاملة للعملاء ذوي اسم الحساب 900؟,,,,,
How many customers don't have an account?,كم عدد العملاء الذين ليس لديهم حساب؟,,,,,
Count the number of customers who do not have an account.,عدد العملاء الذين ليس لديهم حساب.,,,,,
"Show the unique first names, last names, and phone numbers for all customers with any account.",أظهر الأسماء الأولى الفريدة، وأسماء العائلة، وأرقام الهواتف لجميع العملاء الذين لديهم حساب أيًا كان.,,,,,
"What are the distinct first names, last names, and phone numbers for customers with accounts?",ما هي الأسماء الأولى المميزة، وأسماء العائلة، وأرقام الهواتف للعملاء الذين لديهم حساب؟,,,,,
Show customer ids who don't have an account.,أظهر هويات العملاء الذين ليس لديهم حساب.,,,,,
What are the customer ids for customers who do not have an account?,ما هي هويات العملاء الذين ليس لديهم حساب؟,,,,,
How many accounts does each customer have? List the number and customer id.,كم عدد الحسابات التي يمتلكها كل عميل؟ قائمة بالعدد وهوية العميل.,,,,,
Count the number of accounts corresponding to each customer id.,عدد الحسابات المتوافقة مع كل هوية عميل.,,,,,
"What is the customer id, first and last name with most number of accounts.",ما هي هوية العميل، والاسم الأول والأخير الذي يمتلك أكبر عدد من الحسابات؟,,,,,
Return the id and full name of the customer with the most accounts.,العودة بالهوية والاسم الكامل للعميل الذي يمتلك أكبر عدد من الحسابات.,,,,,
"Show id, first name and last name for all customers and the number of accounts.",أظهر الهوية، والاسم الأول والأخير لجميع العملاء وعدد الحسابات.,,,,,
"What are the the full names and ids for all customers, and how many accounts does each have?",ما هي الأسماء الكاملة والهويات لجميع العملاء، وكم عدد الحسابات التي يمتلكها كل عميل؟,,,,,
Show first name and id for all customers with at least 2 accounts.,أظهر الاسم الأول والهوية لجميع العملاء الذين لديهم ما لا يقل عن حسابين.,,,,,
What are the first names and ids for customers who have two or more accounts?,ما هي الأسماء الأولى والهويات للعملاء الذين لديهم حسابين أو أكثر؟,,,,,
Show the number of customers.,أظهر عدد العملاء.,,,,,
Count the number of customers.,عدد العملاء.,,,,,
Show the number of customers for each gender.,أظهر عدد العملاء لكل نوع.,,,,,
How many customers are there of each gender?,كم عدد العملاء لكل جنس؟,,,,,
How many transactions do we have?,كم عدد المعاملات لدينا؟,,,,,
Count the number of transactions.,عدد المعاملات.,,,,,
How many transaction does each account have? Show the number and account id.,كم عدد المعاملات التي يمتلكها كل حساب؟ أظهر العدد وهوية الحساب.,,,,,
Count the number of financial transactions that correspond to each account id.,عدد المعاملات المالية التي تتوافق مع كل هوية حساب.,,,,,
How many transaction does account with name 337 have?,كم عدد المعاملات التي يمتلكها الحساب بالاسم 337؟,,,,,
Count the number of financial transactions that the account with the name 337 has.,عدد المعاملات المالية التي يمتلكها الحساب بالاسم 337.,,,,,
"What is the average, minimum, maximum, and total transaction amount?",ما هو المتوسط، الحد الأدنى، الأقصى، والمجموع لمبلغ المعاملة؟,,,,,
"Return the average, minimum, maximum, and total transaction amounts.",العودة بالمتوسط، الحد الأدنى، الأقصى، والمجموع لمبالغ المعاملات.,,,,,
Show ids for all transactions whose amounts are greater than the average.,أظهر الهويات لجميع المعاملات التي تكون مبالغها أكبر من المتوسط.,,,,,
What are the ids for transactions that have an amount greater than the average amount of a transaction?,ما هي الهويات للمعاملات التي تحتوي على مبلغ أكبر من المتوسط لمبلغ المعاملة؟,,,,,
Show the transaction types and the total amount of transactions.,أظهر أنواع المعاملات ومجموع مبالغ المعاملات.,,,,,
What are total transaction amounts for each transaction type?,ما هي إجمالي مبالغ المعاملات لكل نوع من المعاملات؟,,,,,
"Show the account name, id and the number of transactions for each account.",أظهر اسم الحساب، الهوية، وعدد المعاملات لكل حساب.,,,,,
"Return the names and ids of each account, as well as the number of transactions.",العودة بالأسماء والهويات لكل حساب، بالإضافة إلى عدد المعاملات.,,,,,
Show the account id with most number of transactions.,ما هو معرف الحساب الذي يحتوي على أكبر عدد من المعاملات؟,,,,,
What is the id of the account with the most transactions?,ما هو معرف الحساب الذي يحتوي على أكبر عدد من المعاملات؟,,,,,
Show the account id and name with at least 4 transactions.,أظهر معرف الحساب والاسم الذي يحتوي على ما لا يقل عن 4 معاملات.,,,,,
What are the ids and names of accounts with 4 or more transactions?,ما هي الهويات والأسماء للحسابات التي تحتوي على 4 معاملات أو أكثر؟,,,,,
Show all product sizes.,أظهر جميع أحجام المنتجات.,,,,,
What are the different product sizes?,ما هي الأحجام المختلفة للمنتجات؟,,,,,
Show all product colors.,أظهر جميع ألوان المنتجات.,,,,,
What are the different product colors?,ما هي الألوان المختلفة للمنتجات؟,,,,,
Show the invoice number and the number of transactions for each invoice.,أظهر رقم الفاتورة وعدد المعاملات لكل فاتورة.,,,,,
How many transactions correspond to each invoice number?,كم عدد المعاملات المتوافقة مع كل رقم فاتورة؟,,,,,
What is the invoice number and invoice date for the invoice with most number of transactions?,ما هو رقم الفاتورة وتاريخ الفاتورة للفاتورة التي تحتوي على أكبر عدد من المعاملات؟,,,,,
What is the invoice number and invoice date corresponding to the invoice with the greatest number of transactions?,ما هو رقم الفاتورة وتاريخ الفاتورة المتوافق مع الفاتورة التي تحتوي على أكبر عدد من المعاملات؟,,,,,
How many invoices do we have?,كم عدد الفواتير لدينا؟,,,,,
Count the number of invoices.,عدد الفواتير.,,,,,
Show invoice dates and order id and details for all invoices.,أظهر تواريخ الفواتير ومعرف الطلب وتفاصيل لجميع الفواتير.,,,,,
"What are the invoice dates, order ids, and order details for all invoices?",ما هي تواريخ الفواتير ومعرّفات الطلبات وتفاصيل الطلبات لجميع الفواتير؟,,,,,
Show the order ids and the number of invoices for each order.,اعرض معرفات الطلبات وعدد الفواتير لكل طلب.,,,,,
How many invoices correspond to each order id?,كم عدد الفواتير التي تتوافق مع كل معرّف طلب؟,,,,,
What is the order id and order details for the order more than two invoices.,ما هو معرّف الطلب وتفاصيل الطلب للطلب الذي يحتوي على أكثر من فاتورتين؟,,,,,
Return the order ids and details for orderes with two or more invoices.,ارجع معرّفات الطلب والتفاصيل للطلبات التي تحتوي على فاتورتين أو أكثر.,,,,,
"What is the customer last name, id and phone number with most number of orders?",ما هو اسم العائلة للعميل ومعرّفه ورقم هاتفه الذي لديه أكبر عدد من الطلبات؟,,,,,
"Return the last name, id and phone number of the customer who has made the greatest number of orders.",ارجع اسم العائلة والمعرّف ورقم الهاتف للعميل الذي قام بأكبر عدد من الطلبات.,,,,,
Show all product names without an order.,اعرض أسماء جميع المنتجات بدون طلب.,,,,,
What are the names of products that have never been ordered?,ما هي أسماء المنتجات التي لم يتم طلبها أبدًا؟,,,,,
Show all product names and the total quantity ordered for each product name.,اعرض أسماء جميع المنتجات والكمية الإجمالية المطلوبة لكل اسم من أسماء المنتجات.,,,,,
"What are the different product names, and what is the sum of quantity ordered for each product?",ما هي الأسماء المختلفة للمنتجات وما مجموع الكمية المطلوبة لكل منتج؟,,,,,
Show the order ids and the number of items in each order.,اعرض معرّفات الطلب وعدد العناصر في كل طلب.,,,,,
How many order items correspond to each order id?,كم عدد عناصر الطلب التي تتوافق مع كل معرّف طلب؟,,,,,
Show the product ids and the number of unique orders containing each product.,اعرض معرّفات المنتجات وعدد الطلبات الفريدة التي تحتوي على كل منتج.,,,,,
How many distinct order ids correspond to each product?,كم عدد معرّفات الطلبات المتميزة التي تتوافق مع كل منتج؟,,,,,
Show all product names and the number of customers having an order on each product.,ما هي أسماء جميع المنتجات وعدد العملاء الذين قاموا بطلب كل منتج؟,,,,,
"What are teh names of the different products, as well as the number of customers who have ordered each product.",ما هي أسماء المنتجات المختلفة، بالإضافة إلى عدد العملاء الذين قاموا بطلب كل منتج؟,,,,,
Show order ids and the number of products in each order.,اعرض معرّفات الطلب وعدد المنتجات في كل طلب.,,,,,
How many different products correspond to each order id?,كم عدد المنتجات المختلفة التي تتوافق مع كل معرّف طلب؟,,,,,
Show order ids and the total quantity in each order.,اعرض معرّفات الطلب والكمية الإجمالية في كل طلب.,,,,,
"Give the order ids for all orders, as well as the total product quantity in each.",أعط معرّفات الطلب لجميع الطلبات، بالإضافة إلى الكمية الإجمالية للمنتجات في كل منها.,,,,,
How many products were not included in any order?,كم عدد المنتجات التي لم تُدرج في أي طلب؟,,,,,
Count the number of products that were never ordered.,عد عدد المنتجات التي لم يتم طلبها أبدًا؟,,,,,
How many churches opened before 1850 are there?,كم عدد الكنائس التي تم فتحها قبل عام 1850؟,,,,,
"Show the name, open date, and organizer for all churches.",اعرض الاسم وتاريخ الافتتاح والمنظم لجميع الكنائس.,,,,,
List all church names in descending order of opening date.,عرض جميع أسماء الكنائس بترتيب تنازلي حسب تاريخ الافتتاح.,,,,,
Show the opening year in whcih at least two churches opened.,اعرض العام الذي تم فيه فتح ما لا يقل عن كنيستين.,,,,,
Show the organizer and name for churches that opened between 1830 and 1840.,اعرض المنظم والاسم للكنائس التي فُتحت بين عامي 1830 و1840.,,,,,
Show all opening years and the number of churches that opened in that year.,اعرض جميع السنوات الافتتاحية وعدد الكنائس التي فُتحت في كل سنة.,,,,,
Show the name and opening year for three churches that opened most recently.,اعرض الاسم وسنة الافتتاح لثلاث كنائس فُتحت مؤخرًا بشكل أكثر.,,,,,
How many female people are older than 30 in our record?,كم عدد الأشخاص الإناث الذين تجاوزوا سن الثلاثين في سجلنا؟,,,,,
Show the country where people older than 30 and younger than 25 are from.,اعرض البلدان التي يزيد فيها عمر الأشخاص عن 30 ويقل عمرهم عن 25 عامًا.,,,,,
"Show the minimum, maximum, and average age for all people.",اعرض أقل، وأكثر، ومتوسط العمر لجميع الأشخاص.,,,,,
Show the name and country for all people whose age is smaller than the average.,اعرض الاسم والبلد لجميع الأشخاص الذين يكون عمرهم أقل من المتوسط.,,,,,
Show the pair of male and female names in all weddings after year 2014,اعرض زوج أسماء الذكور والإناث في جميع حفلات الزفاف بعد عام 2014.,,,,,
Show the name and age for all male people who don't have a wedding.,اعرض الاسم والعمر لجميع الأشخاص الذكور الذين ليس لديهم حفل زفاف.,,,,,
Show all church names except for those that had a wedding in year 2015.,اعرض جميع أسماء الكنائس باستثناء تلك التي كانت لها حفل زفاف في عام 2015.,,,,,
Show all church names that have hosted least two weddings.,اعرض جميع أسماء الكنائس التي استضافت حفل زفاف على الأقل.,,,,,
Show the names for all females from Canada having a wedding in year 2016.,اعرض الأسماء لجميع الإناث من كندا اللواتي أقمن حفل زفاف في عام 2016.,,,,,
How many weddings are there in year 2016?,كم عدد حفلات الزفاف في عام 2016؟,,,,,
Show the church names for the weddings of all people older than 30.,اعرض أسماء الكنائس لحفلات زفاف جميع الأشخاص الذين تجاوزوا سن الثلاثين.,,,,,
Show all countries and the number of people from each country.,اعرض جميع البلدان وعدد الأشخاص من كل بلد.,,,,,
How many churches have a wedding in year 2016?,كم عدد الكنائس التي تم فيها حفل زفاف في عام 2016؟,,,,,
How many artists do we have?,كم عدد الفنانين لدينا؟,,,,,
Count the number of artists.,عد عدد الفنانين.,,,,,
"Show all artist name, age, and country ordered by the yeared they joined.",ما هي أسماء جميع الفنانين، وأعمارهم، وبلدانهم مرتبة حسب سنوات انضمامهم؟,,,,,
"What are the names, ages, and countries of artists, sorted by the year they joined?",ما هي الأسماء، والأعمار، والبلدان للفنانين، مرتبة حسب سنوات انضمامهم؟,,,,,
What are all distinct country for artists?,ما هي جميع البلدان المميزة للفنانين؟,,,,,
Return the different countries for artists.,ما هي البلدان المختلفة للفنانين؟,,,,,
Show all artist names and the year joined who are not from United States.,اعرض جميع أسماء الفنانين وسنة الانضمام الذين ليسوا من الولايات المتحدة.,,,,,
"What are the names and year of joining for artists that do not have the country ""United States""?","ما هي الأسماء وسنة الانضمام للفنانين الذين ليس لديهم البلد ""الولايات المتحدة""؟",,,,,
How many artists are above age 46 and joined after 1990?,كم عدد الفنانين الذين تتجاوز أعمارهم 46 عامًا وانضموا بعد عام 1990؟,,,,,
Count the number of artists who are older than 46 and joined after 1990.,عد عدد الفنانين الذين تجاوزوا سن ال 46 وانضموا بعد عام 1990.,,,,,
What is the average and minimum age of all artists from United States.,ما هو متوسط وأدنى عمر جميع الفنانين من الولايات المتحدة.,,,,,
Return the average and minimum ages across artists from the United States.,اعرض المتوسط والحد الأدنى للأعمار بين الفنانين من الولايات المتحدة.,,,,,
What is the name of the artist who joined latest?,ما هو اسم الفنان الذي انضم مؤخرًا؟,,,,,
Return the name of the artist who has the latest join year.,اعرض اسم الفنان الذي انضم مؤخرًا.,,,,,
How many exhibition are there in year 2005 or after?,كم عدد المعارض في عام 2005 أو بعدها؟,,,,,
Count the number of exhibitions that happened in or after 2005.,عد عدد المعارض التي حدثت في أو بعد عام 2005.,,,,,
Show theme and year for all exhibitions with ticket prices lower than 15.,اعرض الموضوع والسنة لجميع المعارض التي تتوفر تذاكرها بأسعار أقل من 15.,,,,,
What are the theme and year for all exhibitions that have a ticket price under 15?,ما هي الموضوع والسنة لجميع المعارض التي تمتلك سعر تذكرة أقل من 15؟,,,,,
Show all artist names and the number of exhibitions for each artist.,اعرض جميع أسماء الفنانين وعدد المعارض لكل فنان.,,,,,
How many exhibitions has each artist had?,كم عدد المعارض التي قدمها كل فنان؟,,,,,
What is the name and country for the artist with most number of exhibitions?,ما هو اسم الفنان والبلد للفنان الذي قام بأكبر عدد من المعارض؟,,,,,
Return the name and country corresponding to the artist who has had the most exhibitions.,اعرض الاسم والبلد المتوافق مع الفنان الذي قام بأكبر عدد من المعارض.,,,,,
Show names for artists without any exhibition.,اعرض الأسماء للفنانين الذين لم يقدموا أي معرض.,,,,,
What are the names of artists that have not had any exhibitions?,ما هي أسماء الفنانين الذين لم يقدموا أي معرض؟,,,,,
What is the theme and artist name for the exhibition with a ticket price higher than the average?,ما هو الموضوع واسم الفنان للمعرض الذي كان سعر تذكرته أعلى من المتوسط؟,,,,,
Return the names of artists and the themes of their exhibitions that had a ticket price higher than average.,اعرض أسماء الفنانين ومواضيع معارضهم التي كان سعر تذكرتها أعلى من المتوسط.,,,,,
"Show the average, minimum, and maximum ticket prices for exhibitions for all years before 2009.",اعرض المتوسط والحد الأدنى والحد الأقصى لأسعار التذاكر للمعارض لجميع السنوات قبل عام 2009.,,,,,
"What are the average, minimum, and maximum ticket prices for exhibitions that happened prior to 2009?",ما هي المتوسط والحد الأدنى والحد الأقصى لأسعار التذاكر للمعارض التي حدثت قبل عام 2009؟,,,,,
Show theme and year for all exhibitions in an descending order of ticket price.,اعرض الموضوع والسنة لجميع المعارض بترتيب تنازلي حسب سعر التذكرة.,,,,,
"What are the themes and years for exhibitions, sorted by ticket price descending?",ما هي المواضيع والسنوات للمعارض، مرتبة حسب سعر التذكرة بتنازل؟,,,,,
"What is the theme, date, and attendance for the exhibition in year 2004?",ما هو الموضوع والتاريخ والحضور للمعرض في عام 2004؟,,,,,
"Return the themes, dates, and attendance for exhibitions that happened in 2004.",اعرض الموضوعات والتواريخ والحضور للمعارض التي حدثت في عام 2004.,,,,,
Show all artist names who didn't have an exhibition in 2004.,أظهر أسماء جميع الفنانين الذين لم يكونوا لديهم معرض في عام 2004.,,,,,
What are the names of artists who did not have an exhibition in 2004?,ما هي أسماء الفنانين الذين لم يكون لديهم معرض في عام 2004؟,,,,,
Show the theme for exhibitions with both records of an attendance below 100 and above 500.,أظهر الموضوع للمعارض التي كان لديها سجل حضور أقل من 100 وأكثر من 500.,,,,,
Which themes have had corresponding exhibitions that have had attendance both below 100 and above 500?,ما هي المواضيع التي كانت لها معارض مقابلة كان لديها حضور أقل من 100 وأكثر من 500؟,,,,,
How many exhibitions have a attendance more than 100 or have a ticket price below 10?,كم عدد المعارض التي كان لديها حضور أكثر من 100 أو كان لديها سعر تذكرة أقل من 10؟,,,,,
Count the number of exhibitions that have had an attendnance of over 100 or a ticket prices under 10.,عدد المعارض التي كان لديها حضور أكثر من 100 أو سعر تذكرة أقل من 10.,,,,,
Show all artist names with an average exhibition attendance over 200.,أظهر أسماء جميع الفنانين الذين كان متوسط حضور معارضهم أكثر من 200.,,,,,
What are the names of artist whose exhibitions draw over 200 attendees on average?,ما هي أسماء الفنانين الذين تجذب معارضهم أكثر من 200 زائر في المتوسط؟,,,,,
"Find the id of the item whose title is ""orange"".","ابحث عن معرف العنصر الذي عنوانه ""orange"".",,,,,
List all information in the item table.,قائمة جميع المعلومات في جدول العناصر.,,,,,
Find the number of reviews.,ابحث عن عدد التقييمات.,,,,,
How many users are there?,كم عدد المستخدمين؟,,,,,
Find the average and maximum rating of all reviews.,ابحث عن المتوسط والتقييم الأقصى لجميع التقييمات.,,,,,
Find the highest rank of all reviews.,ابحث عن أعلى تصنيف لجميع التقييمات.,,,,,
How many different users wrote some reviews?,كم عدد المستخدمين المختلفين الذين كتبوا بعض التقييمات؟,,,,,
How many different items were reviewed by some users?,كم عدد العناصر المختلفة التي تمت مراجعتها من قبل بعض المستخدمين؟,,,,,
Find the number of items that did not receive any review.,ابحث عن عدد العناصر التي لم تتلقى أي مراجعة.,,,,,
Find the names of users who did not leave any review.,ابحث عن أسماء المستخدمين الذين لم يتركوا أي مراجعة.,,,,,
Find the names of goods that receive a rating of 10.,ابحث عن أسماء البضائع التي تلقت تقييمًا قدره 10.,,,,,
Find the titles of items whose rating is higher than the average review rating of all items.,ابحث عن عناوين العناصر التي تكون تقييمها أعلى من التقييم المتوسط لجميع العناصر.,,,,,
Find the titles of items that received any rating below 5.,ابحث عن عناوين العناصر التي تلقت أي تقييم أقل من 5.,,,,,
Find the titles of items that received both a rating higher than 8 and a rating below 5.,ابحث عن عناوين العناصر التي تلقت تقييمًا أعلى من 8 وتقييمًا أقل من 5.,,,,,
Find the names of items whose rank is higher than 3 and whose average rating is above 5.,ابحث عن أسماء العناصر التي يكون تصنيفها أعلى من 3 وتكون متوسط تقييمها أعلى من 5.,,,,,
Find the name of the item with the lowest average rating.,ابحث عن اسم العنصر الذي يحمل أدنى تقييم متوسط.,,,,,
List the titles of all items in alphabetic order .,قائمة بعناوين جميع العناصر بترتيب أبجدي.,,,,,
Find the name of the user who gives the most reviews.,ابحث عن اسم المستخدم الذي يعطي أكبر عدد من التقييمات.,,,,,
Find the name and id of the item with the highest average rating.,ابحث عن اسم ومعرف العنصر الذي يحمل أعلى تقييم متوسط.,,,,,
Find the name and id of the good with the highest average rank.,ابحث عن اسم ومعرف السلعة التي تحمل أعلى تصنيف متوسط.,,,,,
"For each user, return the name and the average rating of reviews given by them.",بالنسبة لكل مستخدم، قم بإرجاع الاسم والتقييم المتوسط للتقييمات التي قاموا بإعطائها.,,,,,
